regionName,scientificName,decimalLatitude,decimalLongitude,country,eventDate,kingdom,phylum,class,order,family,genus,species,datasetName
West Bengal (Bay of Bengal),"Hydrobasileus croceus (Brauer, 1867)",22.513865,88.360575,India,2025-01-01T11:01:24,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Hydrobasileus,Hydrobasileus croceus,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Metopidius indicus (Latham, 1790)",23.424882,88.372966,India,2025-01-02T17:46:45,Animalia,Chordata,Aves,Charadriiformes,Jacanidae,Metopidius,Metopidius indicus,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Microcarbo niger (Vieillot, 1817)",22.624224,88.43227,India,2025-01-02T07:54:52,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Microcarbo,Microcarbo niger,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Spilopelia chinensis (Scopoli, 1786)",21.718369,87.557955,India,2025-01-03T13:46:23,Animalia,Chordata,Aves,Columbiformes,Columbidae,Spilopelia,Spilopelia chinensis,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Axis axis (Erxleben, 1777)",21.988962,88.755846,India,2025-01-04T15:33:18,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Axis,Axis axis,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Oryctes rhinoceros (Linnaeus, 1758)",22.624355,88.432439,India,2025-01-13T07:50:16,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Oryctes,Oryctes rhinoceros,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Orthotomus sutorius (Pennant, 1769)",22.474172,88.300773,India,2025-01-12T08:54:09,Animalia,Chordata,Aves,Passeriformes,Cisticolidae,Orthotomus,Orthotomus sutorius,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Treron phoenicopterus (Latham, 1790)",22.474297,88.300788,India,2025-01-12T08:51:25,Animalia,Chordata,Aves,Columbiformes,Columbidae,Treron,Treron phoenicopterus,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Milvus migrans (Boddaert, 1783)",22.62439,88.432271,India,2025-01-13T07:04:12,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,Milvus migrans,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Ischnura senegalensis (Rambur, 1842)",21.758147,88.222121,India,2025-01-13T11:30,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura,Ischnura senegalensis,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Picus xanthopygaeus (J.E.Gray & G.R.Gray, 1847)",22.474185,88.300826,India,2025-01-10T08:20:54,Animalia,Chordata,Aves,Piciformes,Picidae,Picus,Picus xanthopygaeus,iNaturalist research-grade observations
West Bengal (Bay of Bengal),Moduza procris,22.560671,88.409825,India,2025-01-11T14:00:47,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Limenitis,Moduza procris,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Junonia atlites (Linnaeus, 1763)",21.758147,88.222121,India,2025-01-13T13:36,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Junonia,Junonia atlites,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Ceriagrion coromandelianum (Fabricius, 1798)",23.460573,87.460242,India,2025-01-09T15:16:21,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Ceriagrion,Ceriagrion coromandelianum,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Fowlea piscator (Schneider, 1799)",21.758147,88.222121,India,2025-01-08T12:54,Animalia,Chordata,Squamata,,Colubridae,Fowlea,Fowlea piscator,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Milvus migrans (Boddaert, 1783)",22.624319,88.432254,India,2025-01-13T16:57:04,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,Milvus migrans,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Ardeola grayii (Sykes, 1832)",22.64081,88.432364,India,2025-01-15,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardeola,Ardeola grayii,
West Bengal (Bay of Bengal),"Pycnonotus cafer (Linnaeus, 1766)",22.591463,88.476161,India,2025-01-28,Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus cafer,
West Bengal (Bay of Bengal),"Halcyon smyrnensis (Linnaeus, 1758)",22.593994,88.47734,India,2025-01-28,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Halcyon,Halcyon smyrnensis,
West Bengal (Bay of Bengal),"Corvus splendens Vieillot, 1817",22.593509,88.475186,India,2025-01-28,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus splendens,
West Bengal (Bay of Bengal),"Amaurornis phoenicurus (Pennant, 1769)",22.594128,88.476101,India,2025-01-28,Animalia,Chordata,Aves,Gruiformes,Rallidae,Amaurornis,Amaurornis phoenicurus,
West Bengal (Bay of Bengal),"Prinia inornata Sykes, 1832",22.595627,88.476293,India,2025-01-28,Animalia,Chordata,Aves,Passeriformes,Cisticolidae,Prinia,Prinia inornata,
West Bengal (Bay of Bengal),"Gracupica contra (Linnaeus, 1758)",22.591549,88.475882,India,2025-01-28,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Gracupica,Gracupica contra,
West Bengal (Bay of Bengal),"Lanius schach Linnaeus, 1758",22.595295,88.476431,India,2025-01-28,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,Lanius schach,
West Bengal (Bay of Bengal),"Argya striata (Dumont, 1823)",22.593478,88.475682,India,2025-01-28,Animalia,Chordata,Aves,Passeriformes,Leiothrichidae,Turdoides,Turdoides striata,
West Bengal (Bay of Bengal),"Spilopelia chinensis (Scopoli, 1786)",22.59121,88.475887,India,2025-01-28,Animalia,Chordata,Aves,Columbiformes,Columbidae,Spilopelia,Spilopelia chinensis,
West Bengal (Bay of Bengal),"Corvus splendens Vieillot, 1817",22.593656,88.476208,India,2025-01-28,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus splendens,
West Bengal (Bay of Bengal),"Pycnonotus cafer (Linnaeus, 1766)",22.593509,88.475186,India,2025-01-28,Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus cafer,
West Bengal (Bay of Bengal),"Prinia inornata Sykes, 1832",22.596089,88.476226,India,2025-01-28,Animalia,Chordata,Aves,Passeriformes,Cisticolidae,Prinia,Prinia inornata,
West Bengal (Bay of Bengal),"Ardea Linnaeus, 1758",22.590566,88.47383,India,2025-01-28,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,,
West Bengal (Bay of Bengal),"Zosterops palpebrosus (Temminck, 1824)",22.478252,88.378293,India,2025-01-06T16:20,Animalia,Chordata,Aves,Passeriformes,Zosteropidae,Zosterops,Zosterops palpebrosus,iNaturalist research-grade observations
West Bengal (Bay of Bengal),Androsace umbellata (Lour.) Merr.,22.546572,88.360187,India,2025-01-05T15:32:40,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Androsace,Androsace umbellata,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Glossogobius giuris (Hamilton, 1822)",23.061211,86.874435,India,2025-01-10T17:25,Animalia,Chordata,,Perciformes,Gobiidae,Glossogobius,Glossogobius giuris,iNaturalist research-grade observations
West Bengal (Bay of Bengal),Eriboea Hübner,21.758147,88.222121,India,2025-01-15T17:29,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Charaxes,,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Delias eucharis (Drury, 1773)",22.533066,88.33356,India,2025-01-13T13:22:29,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Delias,Delias eucharis,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Sturnia malabarica (Gmelin, 1789)",22.560933,88.224609,India,2025-01-12,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnia,Sturnia malabarica,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Chiasmia emersaria (Walker, 1861)",22.533066,88.33356,India,2025-01-15T13:58:53,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Chiasmia,Chiasmia emersaria,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Fowlea piscator (Schneider, 1799)",22.51005,88.349708,India,2025-01-16T10:23:33,Animalia,Chordata,Squamata,,Colubridae,Fowlea,Fowlea piscator,iNaturalist research-grade observations
West Bengal (Bay of Bengal),Moduza procris,21.758147,88.222121,India,2025-01-16T11:40,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Limenitis,Moduza procris,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Agriocnemis kalinga Nair & Subramanian, 2014",21.758147,88.222121,India,2025-01-16T12:37,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Agriocnemis,Agriocnemis kalinga,iNaturalist research-grade observations
West Bengal (Bay of Bengal),Moduza procris,21.758147,88.222121,India,2025-01-16T11:42,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Limenitis,Moduza procris,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Lampides boeticus (Linnaeus, 1767)",22.688931,88.439796,India,2025-01-11T13:56:40,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lampides,Lampides boeticus,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Agriocnemis kalinga Nair & Subramanian, 2014",21.758147,88.222121,India,2025-01-16T12:33,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Agriocnemis,Agriocnemis kalinga,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Agriocnemis kalinga Nair & Subramanian, 2014",21.758147,88.222121,India,2025-01-16T12:31,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Agriocnemis,Agriocnemis kalinga,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Oriolus xanthornus (Linnaeus, 1758)",22.511495,88.347978,India,2025-01-16T07:19:14,Animalia,Chordata,Aves,Passeriformes,Oriolidae,Oriolus,Oriolus xanthornus,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Agriocnemis kalinga Nair & Subramanian, 2014",21.758147,88.222121,India,2025-01-16T12:35,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Agriocnemis,Agriocnemis kalinga,iNaturalist research-grade observations
West Bengal (Bay of Bengal),Moduza procris,21.758147,88.222121,India,2025-01-16T11:42,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Limenitis,Moduza procris,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Danaus genutia (Cramer, 1779)",22.313415,87.982839,India,2025-01-16T14:07:03,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,Danaus genutia,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Agriocnemis kalinga Nair & Subramanian, 2014",21.758147,88.222121,India,2025-01-16T12:38,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Agriocnemis,Agriocnemis kalinga,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Apis florea Fabricius, 1787",22.509362,88.35582,India,2025-01-16T10:40:23,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis florea,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Agriocnemis kalinga Nair & Subramanian, 2014",21.758147,88.222121,India,2025-01-16T12:34,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Agriocnemis,Agriocnemis kalinga,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Periplaneta americana (Linnaeus, 1758)",21.758147,88.222121,India,2025-01-17T23:24,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,Periplaneta americana,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Hypocala deflorata Fabricius, 1794",22.190185,88.186007,India,2025-01-02T23:37,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypocala,Hypocala deflorata,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Ardea alba Linnaeus, 1758",20.721264,86.867468,India,2025-01-19T11:14:30,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea alba,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Psilopogon lineatus (Vieillot, 1816)",22.513958,88.361025,India,2025-01-15T10:44,Animalia,Chordata,Aves,Piciformes,Megalaimidae,Psilopogon,Psilopogon lineatus,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Dendrocitta vagabunda (Latham, 1790)",22.44405,88.299767,India,2025-01-20T11:53:24,Animalia,Chordata,Aves,Passeriformes,Corvidae,Dendrocitta,Dendrocitta vagabunda,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Danaus chrysippus (Linnaeus, 1758)",22.508183,88.348542,India,2025-01-20T10:05:09,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,Danaus chrysippus,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Oriolus chinensis Linnaeus, 1766",22.513958,88.361025,India,2025-01-15T10:07,Animalia,Chordata,Aves,Passeriformes,Oriolidae,Oriolus,Oriolus chinensis,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Boleophthalmus boddarti (Pallas, 1770)",22.000376,88.818161,India,2025-01-19T08:30:16,Animalia,Chordata,,Perciformes,Gobiidae,Boleophthalmus,Boleophthalmus boddarti,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Eurema hecabe (Linnaeus, 1758)",22.513958,88.361025,India,2025-01-15T10:10,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Eurema,Eurema hecabe,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Mycteria leucocephala (Pennant, 1769)",22.513958,88.361025,India,2025-01-15T10:09,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Mycteria,Mycteria leucocephala,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Ariadne merione (Cramer, 1779)",22.513958,88.361025,India,2025-01-15T10:17,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Ariadne,Ariadne merione,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Crocodylus porosus Schneider, 1801",22.024302,88.730301,India,2025-01-19T09:02:40,Animalia,Chordata,Crocodylia,,Crocodylidae,Crocodylus,Crocodylus porosus,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Micraspis Chevrolat, 1837",22.508627,88.347894,India,2025-01-20T08:53:43,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Micraspis,,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Bradinopyga geminata (Rambur, 1842)",22.56651,88.461585,India,2025-01-16T14:15:10,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Bradinopyga,Bradinopyga geminata,iNaturalist research-grade observations
West Bengal (Bay of Bengal),Sterculia foetida L.,22.513958,88.361025,India,2025-01-15T10:41,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Sterculia,Sterculia foetida,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Telamonia dimidiata (Simon, 1899)",22.50817,88.348416,India,2025-01-20T09:06:06,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Telamonia,Telamonia dimidiata,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Eudynamys scolopaceus (Linnaeus, 1758)",22.513958,88.361025,India,2025-01-15T09:56,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Eudynamys,Eudynamys scolopaceus,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Leptoptilos javanicus (Horsfield, 1821)",20.698076,86.904132,India,2025-01-19T11:20:16,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Leptoptilos,Leptoptilos javanicus,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Dicrurus macrocercus Vieillot, 1817",22.513958,88.361025,India,2025-01-15T09:40,Animalia,Chordata,Aves,Passeriformes,Dicruridae,Dicrurus,Dicrurus macrocercus,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Oriolus xanthornus (Linnaeus, 1758)",22.513958,88.361025,India,2025-01-15T09:32,Animalia,Chordata,Aves,Passeriformes,Oriolidae,Oriolus,Oriolus xanthornus,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Himantopus himantopus (Linnaeus, 1758)",20.721264,86.867468,India,2025-01-19T10:51:01,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,Himantopus himantopus,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Perina nuda Fabricius, 1787",22.508548,88.347861,India,2025-01-20T08:57:09,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Perina,Perina nuda,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Leptotes plinius (Fabricius, 1793)",22.513958,88.361025,India,2025-01-15T10:18,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Leptotes,Leptotes plinius,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Lampides boeticus (Linnaeus, 1767)",21.758147,88.222121,India,2025-01-20T12:33,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lampides,Lampides boeticus,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Crocodylus porosus Schneider, 1801",20.721264,86.867468,India,2025-01-19T11:44:29,Animalia,Chordata,Crocodylia,,Crocodylidae,Crocodylus,Crocodylus porosus,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Appias libythea (Fabricius, 1775)",22.508183,88.348542,India,2025-01-20T10:18:08,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Appias,Appias libythea,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Pteropus giganteus (Brünnich, 1782)",22.541938,88.354745,India,2025-01-19T11:31:40,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,Pteropus vampyrus,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Rathinda amor (Fabricius, 1775)",22.508183,88.348542,India,2025-01-20T09:41:05,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Rathinda,Rathinda amor,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Psilopogon asiaticus (Latham, 1790)",22.513958,88.361025,India,2025-01-15T09:50,Animalia,Chordata,Aves,Piciformes,Megalaimidae,Psilopogon,Psilopogon asiaticus,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Butorides striata (Linnaeus, 1758)",22.123736,88.846187,India,2025-01-18T06:57,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Butorides,Butorides striata,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Neptis hylas Linnaeus, 1758",23.130301,86.088972,India,2025-01-22T08:27:25,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Neptis,Neptis hylas,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Leptosia nina (Fabricius, 1793)",22.688875,88.43969,India,2025-01-19T13:47:41,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Leptosia,Leptosia nina,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Dinopium benghalense (Linnaeus, 1758)",22.688923,88.439735,India,2025-01-19T16:20:23,Animalia,Chordata,Aves,Piciformes,Picidae,Dinopium,Dinopium benghalense,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Ariadne merione (Cramer, 1779)",22.508102,88.348564,India,2025-01-20T09:12:57,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Ariadne,Ariadne merione,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Numenius phaeopus (Linnaeus, 1758)",22.123736,88.846187,India,2025-01-16T14:18,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius phaeopus,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Halcyon pileata (Boddaert, 1783)",22.123736,88.846187,India,2025-01-17T08:17,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Halcyon,Halcyon pileata,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Pelargopsis amauroptera (J.T.Pearson, 1841)",22.105243,88.835897,India,2025-01-16T08:43,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Pelargopsis,Pelargopsis amauroptera,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Crocodylus porosus Schneider, 1801",22.123736,88.846187,India,2025-01-19T08:57,Animalia,Chordata,Crocodylia,,Crocodylidae,Crocodylus,Crocodylus porosus,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Alcedo atthis (Linnaeus, 1758)",22.123736,88.846187,India,2025-01-16T16:30,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Alcedo,Alcedo atthis,iNaturalist research-grade observations
West Bengal (Bay of Bengal),Averrhoa carambola L.,22.123736,88.846187,India,2025-01-17T14:11,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,Averrhoa,Averrhoa carambola,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Copsychus saularis (Linnaeus, 1758)",22.123736,88.846187,India,2025-01-16T16:35,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Copsychus,Copsychus saularis,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Pycnonotus cafer (Linnaeus, 1766)",22.123736,88.846187,India,2025-01-17T14:13,Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus cafer,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Todiramphus chloris (Boddaert, 1783)",22.123736,88.846187,India,2025-01-18T09:25,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Todiramphus,Todiramphus chloris,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Numenius phaeopus (Linnaeus, 1758)",22.123736,88.846187,India,2025-01-19T07:04,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius phaeopus,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Sus scrofa Linnaeus, 1758",22.123736,88.846187,India,2025-01-16T14:21,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Anastomus oscitans (Boddaert, 1783)",22.123736,88.846187,India,2025-01-17T08:19,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Anastomus,Anastomus oscitans,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Pericrocotus cinnamomeus (Linnaeus, 1766)",22.123736,88.846187,India,2025-01-19T08:38,Animalia,Chordata,Aves,Passeriformes,Campephagidae,Pericrocotus,Pericrocotus cinnamomeus,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Actitis hypoleucos (Linnaeus, 1758)",22.123736,88.846187,India,2025-01-16T08:53,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,Actitis hypoleucos,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Tringa totanus (Linnaeus, 1758)",22.123736,88.846187,India,2025-01-18T08:28,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa totanus,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Numenius arquata (Linnaeus, 1758)",22.123736,88.846187,India,2025-01-18T15:11,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius arquata,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Leptoptilos javanicus (Horsfield, 1821)",22.196044,88.901599,India,2025-01-19T08:04,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Leptoptilos,Leptoptilos javanicus,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Argiope pulchella Thorell, 1881",22.123736,88.846187,India,2025-01-17T15:48,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,Argiope pulchella,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Merops orientalis Latham, 1801",22.123736,88.846187,India,2025-01-18T13:15,Animalia,Chordata,Aves,Coraciiformes,Meropidae,Merops,Merops orientalis,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Tringa totanus (Linnaeus, 1758)",22.123736,88.846187,India,2025-01-16T09:28,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa totanus,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Micraspis discolor (Fabricius, 1798)",22.123736,88.846187,India,2025-01-17T14:49,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Micraspis,Micraspis discolor,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Gallus gallus (Linnaeus, 1758)",22.123736,88.846187,India,2025-01-18T07:13,Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,Gallus gallus,iNaturalist research-grade observations
